Model,Dataset,"P(<t,f>)","P(<f,t>)","P(<t,t>)","P(<f,f>)","P(<e,e>)"
claude-3-5-haiku-202,FACTSCORE,0.227,0.047,0.014,0.712,0.0
claude-3-5-haiku-202,MMLUPRO,0.477,0.258,0.085,0.18,0.0
claude-3-5-haiku-202,SIMPLEQA,0.13,0.477,0.03,0.363,0.0
claude-3-5-haiku-202,TRUTHFULQA,0.265,0.433,0.031,0.271,0.0
claude-opus-4-1-2025,FACTSCORE,0.219,0.029,0.011,0.471,0.126
claude-opus-4-1-2025,MMLUPRO,0.058,0.089,0.006,0.005,0.802
claude-opus-4-1-2025,SIMPLEQA,0.111,0.335,0.022,0.015,0.347
claude-opus-4-1-2025,TRUTHFULQA,0.302,0.424,0.021,0.201,0.014
gemini-2.5-flash,FACTSCORE,0.241,0.143,0.059,0.557,0.0
gemini-2.5-flash,MMLUPRO,0.165,0.622,0.201,0.012,0.0
gemini-2.5-flash,SIMPLEQA,0.04,0.707,0.245,0.008,0.0
gemini-2.5-flash,TRUTHFULQA,0.226,0.512,0.072,0.19,0.0
gpt-4.1-2025-04-14,FACTSCORE,0.288,0.105,0.013,0.594,0.0
gpt-4.1-2025-04-14,MMLUPRO,0.258,0.544,0.176,0.022,0.0
gpt-4.1-2025-04-14,SIMPLEQA,0.255,0.588,0.109,0.048,0.0
gpt-4.1-2025-04-14,TRUTHFULQA,0.289,0.479,0.036,0.196,0.0
gpt-4.1-mini-2025-04,FACTSCORE,0.31,0.078,0.043,0.569,0.0
gpt-4.1-mini-2025-04,MMLUPRO,0.338,0.394,0.237,0.031,0.0
gpt-4.1-mini-2025-04,SIMPLEQA,0.213,0.548,0.178,0.061,0.0
gpt-4.1-mini-2025-04,TRUTHFULQA,0.333,0.405,0.078,0.184,0.0
llama-4-maverick,FACTSCORE,0.201,0.017,0.008,0.172,0.384
llama-4-maverick,MMLUPRO,0.226,0.142,0.072,0.03,0.214
llama-4-maverick,SIMPLEQA,0.099,0.385,0.054,0.115,0.066
llama-4-maverick,TRUTHFULQA,0.25,0.361,0.064,0.207,0.068
llama-4-scout,FACTSCORE,0.3,0.012,0.007,0.665,0.006
llama-4-scout,MMLUPRO,0.281,0.198,0.034,0.133,0.226
llama-4-scout,SIMPLEQA,0.254,0.356,0.013,0.375,0.0
llama-4-scout,TRUTHFULQA,0.305,0.379,0.052,0.258,0.001
